Rank,Movie Name,Variability
1,너의 결혼식,0
2,목격자,0
3,공작,0
4,신과함께-인과 연,0
5,상류사회,0
6,맘마미아!2,0
7,메가로돈,0
8,나를 차버린 스파이,↑ 1
9,미션 임파서블: 폴아웃,↓ 1
10,서치,↑ 1
11,마일 22,↓ 1
12,암수살인,↑ 5
13,마녀,↓ 1
14,오션스8,↑ 2
15,업그레이드,↓ 2
16,인랑,↓ 1
17,유전,↑ 2
18,안시성,↓ 4
19,몬스터 호텔 3,↓ 1
20,물괴,0
21,휘트니,0
22,더 보이스,↑ 2
23,그래비티,↑ 3
24,탑건,↑ 4
25,콜보이,0
26,트라이앵글,↑ 1
27,명탐정 코난 : 제로의 집행인,↓ 5
28,박화영,↓ 5
29,워 랜드,↑ 2
30,창궐,↑ 16
31,어느 가족,↓ 1
32,극장판 도라에몽: 진구의 보물섬,↓ 3
33,명당,↓ 1
34,카메라를 멈추면 안 돼!,↓ 1
35,어른도감,↓ 1
36,베놈,0
37,변산,↓ 2
38,타임루프 : 벗어날 수 없는,0
39,스카이스크래퍼,↓ 2
40,여친엄마 2,↑ 7
41,언덕길의 아폴론,↓ 2
42,어드리프트:우리가 함께한 바다,↑ 15
43,독전,↓ 3
44,어벤져스: 인피니티 워,↓ 2
45,더 프레데터,↑ 11
46,살아남은 아이,↑ 4
47,협상,↓ 3
48,더 넌,↓ 3
49,인크레더블 2,↓ 8
50,픽시,↓ 7
